ply 1: 20 first moves
p2_c2c3_d7d6: draw nodes=1675264 censored=True wall=9.235
p2_c2c3_d7d5: draw nodes=1642496 censored=True wall=9.233
p2_c2c3_e7e6: draw nodes=1687552 censored=True wall=9.223
p2_c2c3_e7e5: draw nodes=1601536 censored=True wall=9.206
p2_c2c3_f7f6: draw nodes=1695744 censored=True wall=9.288
p2_c2c3_f7f5: draw nodes=1720320 censored=True wall=9.291
p2_c2c3_g7g6: draw nodes=1736704 censored=True wall=9.502
p2_c2c3_g7g5: win nodes=20737 censored=False wall=0.159
p2_c2c3_h7h6: draw nodes=1687552 censored=True wall=9.344
p2_c2c3_h7h5: draw nodes=1626112 censored=True wall=9.279
p2_c2c3_b8a6: draw nodes=1687552 censored=True wall=9.28
p2_c2c3_b8c6: draw nodes=1699840 censored=True wall=9.295
p2_c2c3_g8f6: draw nodes=1720320 censored=True wall=9.228
p2_c2c3_g8h6: draw nodes=1712128 censored=True wall=9.204
[ply2 after c2c3: 20 replies; 105 runs, 965s]
p1_c2c4: draw nodes=1744896 censored=True wall=9.25
p2_c2c4_a7a6: draw nodes=1826816 censored=True wall=9.279
p2_c2c4_a7a5: draw nodes=1769472 censored=True wall=9.299
p2_c2c4_b7b6: draw nodes=1757184 censored=True wall=9.287
p2_c2c4_b7b5: draw nodes=1757184 censored=True wall=9.337
p2_c2c4_c7c6: draw nodes=1703936 censored=True wall=9.222
p2_c2c4_c7c5: draw nodes=1740800 censored=True wall=9.284
p2_c2c4_d7d6: draw nodes=1699840 censored=True wall=9.274
p2_c2c4_d7d5: draw nodes=1626112 censored=True wall=9.218
p2_c2c4_e7e6: draw nodes=1642496 censored=True wall=9.213
p2_c2c4_e7e5: draw nodes=1646592 censored=True wall=9.204
p2_c2c4_f7f6: draw nodes=1769472 censored=True wall=9.414
p2_c2c4_f7f5: draw nodes=1761280 censored=True wall=9.286
p2_c2c4_g7g6: draw nodes=1794048 censored=True wall=9.294
p2_c2c4_g7g5: draw nodes=1748992 censored=True wall=9.298
p2_c2c4_h7h6: draw nodes=1748992 censored=True wall=9.311
p2_c2c4_h7h5: draw nodes=1757184 censored=True wall=9.275
p2_c2c4_b8a6: draw nodes=1781760 censored=True wall=9.34
p2_c2c4_b8c6: draw nodes=1740800 censored=True wall=9.652
p2_c2c4_g8f6: draw nodes=1769472 censored=True wall=9.363
p2_c2c4_g8h6: draw nodes=1794048 censored=True wall=9.312
[ply2 after c2c4: 20 replies; 126 runs, 1161s]
p1_d2d3: draw nodes=1650688 censored=True wall=9.228
p2_d2d3_a7a6: draw nodes=1757184 censored=True wall=9.335
p2_d2d3_a7a5: draw nodes=1683456 censored=True wall=9.271
p2_d2d3_b7b6: draw nodes=1671168 censored=True wall=9.368
p2_d2d3_b7b5: draw nodes=1654784 censored=True wall=9.259
p2_d2d3_c7c6: draw nodes=1695744 censored=True wall=9.255
p2_d2d3_c7c5: draw nodes=1683456 censored=True wall=9.292
p2_d2d3_d7d6: draw nodes=1630208 censored=True wall=9.238
p2_d2d3_d7d5: draw nodes=1527808 censored=True wall=9.172
p2_d2d3_e7e6: draw nodes=1654784 censored=True wall=9.199
p2_d2d3_e7e5: draw nodes=1601536 censored=True wall=9.225
p2_d2d3_f7f6: draw nodes=1630208 censored=True wall=9.317
p2_d2d3_f7f5: draw nodes=1622016 censored=True wall=9.328
p2_d2d3_g7g6: draw nodes=1683456 censored=True wall=9.26
p2_d2d3_g7g5: draw nodes=1703936 censored=True wall=9.31
p2_d2d3_h7h6: draw nodes=1638400 censored=True wall=9.359
p2_d2d3_h7h5: draw nodes=1642496 censored=True wall=9.294
p2_d2d3_b8a6: draw nodes=1576960 censored=True wall=9.231
p2_d2d3_b8c6: draw nodes=1626112 censored=True wall=9.232
p2_d2d3_g8f6: draw nodes=1695744 censored=True wall=9.347
p2_d2d3_g8h6: draw nodes=1511424 censored=True wall=9.322
[ply2 after d2d3: 20 replies; 147 runs, 1356s]
p1_d2d4: draw nodes=1511424 censored=True wall=9.176
p2_d2d4_a7a6: draw nodes=1499136 censored=True wall=9.234
p2_d2d4_a7a5: draw nodes=1470464 censored=True wall=9.286
p2_d2d4_b7b6: draw nodes=1441792 censored=True wall=9.296
p2_d2d4_b7b5: draw nodes=1486848 censored=True wall=9.591
p2_d2d4_c7c6: draw nodes=1527808 censored=True wall=9.363
p2_d2d4_c7c5: draw nodes=1499136 censored=True wall=9.255
p2_d2d4_d7d6: draw nodes=1454080 censored=True wall=9.247
p2_d2d4_d7d5: draw nodes=1409024 censored=True wall=9.226
p2_d2d4_e7e6: draw nodes=1449984 censored=True wall=9.259
p2_d2d4_e7e5: draw nodes=1425408 censored=True wall=9.257
p2_d2d4_f7f6: draw nodes=1466368 censored=True wall=9.38
p2_d2d4_f7f5: draw nodes=1482752 censored=True wall=9.218
p2_d2d4_g7g6: draw nodes=1597440 censored=True wall=9.229
p2_d2d4_g7g5: draw nodes=1622016 censored=True wall=9.248
p2_d2d4_h7h6: draw nodes=1572864 censored=True wall=9.268
p2_d2d4_h7h5: draw nodes=1552384 censored=True wall=9.221
p2_d2d4_b8a6: draw nodes=1560576 censored=True wall=9.204
p2_d2d4_b8c6: draw nodes=1622016 censored=True wall=9.287
p2_d2d4_g8f6: draw nodes=1617920 censored=True wall=9.267
p2_d2d4_g8h6: draw nodes=1650688 censored=True wall=9.397
[ply2 after d2d4: 20 replies; 168 runs, 1551s]
p1_e2e3: draw nodes=1609728 censored=True wall=9.228
p2_e2e3_a7a6: win nodes=636 censored=False wall=0.029
p2_e2e3_a7a5: win nodes=1035 censored=False wall=0.031
p2_e2e3_b7b6: win nodes=908 censored=False wall=0.029
p2_e2e3_b7b5: win nodes=445 censored=False wall=0.029
p2_e2e3_c7c6: draw nodes=1585152 censored=True wall=9.227
p2_e2e3_c7c5: win nodes=722 censored=False wall=0.028
p2_e2e3_d7d6: draw nodes=1495040 censored=True wall=9.202
p2_e2e3_d7d5: draw nodes=1478656 censored=True wall=9.158
p2_e2e3_e7e6: draw nodes=1548288 censored=True wall=9.177
p2_e2e3_e7e5: draw nodes=1486848 censored=True wall=9.22
p2_e2e3_f7f6: win nodes=531 censored=False wall=0.029
p2_e2e3_f7f5: draw nodes=1560576 censored=True wall=9.261
p2_e2e3_g7g6: win nodes=1047199 censored=False wall=6.045
p2_e2e3_g7g5: win nodes=158 censored=False wall=0.026
p2_e2e3_h7h6: win nodes=704 censored=False wall=0.028
p2_e2e3_h7h5: win nodes=900365 censored=False wall=5.039
p2_e2e3_b8a6: win nodes=929 censored=False wall=0.029
p2_e2e3_b8c6: win nodes=265 censored=False wall=0.028
p2_e2e3_g8f6: draw nodes=1650688 censored=True wall=9.281
p2_e2e3_g8h6: win nodes=830 censored=False wall=0.032
[ply2 after e2e3: 20 replies; 189 runs, 1636s]
p1_e2e4: draw nodes=1597440 censored=True wall=9.2
p2_e2e4_a7a6: win nodes=685 censored=False wall=0.03
p2_e2e4_a7a5: win nodes=1087 censored=False wall=0.031
p2_e2e4_b7b6: win nodes=959 censored=False wall=0.03
p2_e2e4_b7b5: win nodes=494 censored=False wall=0.028
p2_e2e4_c7c6: draw nodes=1548288 censored=True wall=9.208
p2_e2e4_c7c5: win nodes=774 censored=False wall=0.029
p2_e2e4_d7d6: draw nodes=1486848 censored=True wall=9.148
p2_e2e4_d7d5: draw nodes=1515520 censored=True wall=9.12
p2_e2e4_e7e6: draw nodes=1556480 censored=True wall=9.167
p2_e2e4_e7e5: win nodes=4749 censored=False wall=0.049
p2_e2e4_f7f6: win nodes=531 censored=False wall=0.029
p2_e2e4_f7f5: win nodes=3695 censored=False wall=0.047
p2_e2e4_g7g6: draw nodes=1576960 censored=True wall=9.224
p2_e2e4_g7g5: win nodes=158 censored=False wall=0.028
p2_e2e4_h7h6: win nodes=752 censored=False wall=0.03
p2_e2e4_h7h5: draw nodes=1515520 censored=True wall=9.202
p2_e2e4_b8a6: win nodes=981 censored=False wall=0.031
p2_e2e4_b8c6: win nodes=316 censored=False wall=0.028
p2_e2e4_g8f6: draw nodes=1626112 censored=True wall=9.266
p2_e2e4_g8h6: win nodes=831 censored=False wall=0.032
[ply2 after e2e4: 20 replies; 210 runs, 1710s]
p1_f2f3: draw nodes=1634304 censored=True wall=9.334
p2_f2f3_a7a6: draw nodes=1736704 censored=True wall=9.451
p2_f2f3_a7a5: draw nodes=1650688 censored=True wall=9.288
p2_f2f3_b7b6: draw nodes=1675264 censored=True wall=9.308
p2_f2f3_b7b5: draw nodes=1617920 censored=True wall=9.387
p2_f2f3_c7c6: draw nodes=1589248 censored=True wall=9.254
p2_f2f3_c7c5: draw nodes=1662976 censored=True wall=9.305
p2_f2f3_d7d6: draw nodes=1613824 censored=True wall=9.405
p2_f2f3_d7d5: draw nodes=1540096 censored=True wall=9.29
p2_f2f3_e7e6: draw nodes=1552384 censored=True wall=9.213
p2_f2f3_e7e5: draw nodes=1495040 censored=True wall=9.18
p2_f2f3_f7f6: draw nodes=1609728 censored=True wall=9.353
p2_f2f3_f7f5: draw nodes=1515520 censored=True wall=9.299
p2_f2f3_g7g6: draw nodes=1613824 censored=True wall=9.341
p2_f2f3_g7g5: draw nodes=1556480 censored=True wall=9.346
p2_f2f3_h7h6: draw nodes=1581056 censored=True wall=9.361
p2_f2f3_h7h5: draw nodes=1552384 censored=True wall=9.366
p2_f2f3_b8a6: draw nodes=1572864 censored=True wall=9.357
p2_f2f3_b8c6: draw nodes=1531904 censored=True wall=9.874
p2_f2f3_g8f6: draw nodes=1523712 censored=True wall=9.268
p2_f2f3_g8h6: draw nodes=1544192 censored=True wall=9.299
[ply2 after f2f3: 20 replies; 231 runs, 1907s]
p1_f2f4: draw nodes=1515520 censored=True wall=9.222
p2_f2f4_a7a6: draw nodes=1515520 censored=True wall=9.275
p2_f2f4_a7a5: draw nodes=1466368 censored=True wall=9.248
p2_f2f4_b7b6: draw nodes=1486848 censored=True wall=9.227
p2_f2f4_b7b5: draw nodes=1511424 censored=True wall=9.271
p2_f2f4_c7c6: draw nodes=1536000 censored=True wall=9.23
p2_f2f4_c7c5: draw nodes=1536000 censored=True wall=9.384
p2_f2f4_d7d6: draw nodes=1392640 censored=True wall=9.182
p2_f2f4_d7d5: draw nodes=1454080 censored=True wall=9.238
p2_f2f4_e7e6: draw nodes=1495040 censored=True wall=9.182
p2_f2f4_e7e5: draw nodes=1466368 censored=True wall=9.237
p2_f2f4_f7f6: draw nodes=1519616 censored=True wall=9.258
p2_f2f4_f7f5: draw nodes=1523712 censored=True wall=9.267
p2_f2f4_g7g6: draw nodes=1503232 censored=True wall=9.221
p2_f2f4_g7g5: draw nodes=1490944 censored=True wall=9.254
p2_f2f4_h7h6: draw nodes=1466368 censored=True wall=9.279
p2_f2f4_h7h5: draw nodes=1515520 censored=True wall=9.461
p2_f2f4_b8a6: draw nodes=1474560 censored=True wall=9.293
p2_f2f4_b8c6: draw nodes=1445888 censored=True wall=9.211
p2_f2f4_g8f6: draw nodes=1380352 censored=True wall=9.15
p2_f2f4_g8h6: draw nodes=1474560 censored=True wall=9.209
[ply2 after f2f4: 20 replies; 252 runs, 2101s]
p1_g2g3: draw nodes=1527808 censored=True wall=9.24
p2_g2g3_a7a6: draw nodes=1523712 censored=True wall=9.247
p2_g2g3_a7a5: draw nodes=1470464 censored=True wall=9.188
p2_g2g3_b7b6: draw nodes=1495040 censored=True wall=9.192
p2_g2g3_b7b5: draw nodes=1507328 censored=True wall=9.261
p2_g2g3_c7c6: draw nodes=1519616 censored=True wall=9.341
p2_g2g3_c7c5: draw nodes=1511424 censored=True wall=9.223
p2_g2g3_d7d6: draw nodes=1474560 censored=True wall=9.18
p2_g2g3_d7d5: draw nodes=1466368 censored=True wall=9.187
p2_g2g3_e7e6: draw nodes=1458176 censored=True wall=9.146
p2_g2g3_e7e5: draw nodes=1449984 censored=True wall=9.199
p2_g2g3_f7f6: draw nodes=1527808 censored=True wall=9.244
p2_g2g3_f7f5: draw nodes=1486848 censored=True wall=9.222
p2_g2g3_g7g6: draw nodes=1507328 censored=True wall=9.216
p2_g2g3_g7g5: draw nodes=1548288 censored=True wall=9.294
p2_g2g3_h7h6: draw nodes=1478656 censored=True wall=9.247
p2_g2g3_h7h5: draw nodes=1445888 censored=True wall=9.25
p2_g2g3_b8a6: draw nodes=1474560 censored=True wall=9.182
