side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
AND,1,1,1,5,1,0,0,1,382,0,0,0,0,1,382,0,0
OR,1,1,0,4,2,0,0,1,1975,0,0,0,0,1,1975,0,0
OR,1,1,1,5,2,0,0,3,16737,0,0,0,0,3,16737,0,0
AND,1,1,0,4,3,0,0,1,292,0,0,0,0,1,292,0,0
AND,1,1,0,5,4,0,0,1,506,0,0,0,0,1,506,0,0
AND,0,0,0,0,5,0,0,518,91568,28,1680,0,0,490,89888,0,0
OR,0,0,0,0,5,0,0,88,200311,7,7702,0,0,81,192609,0,0
AND,1,0,0,0,5,0,0,10,2864,4,1318,0,0,6,1546,0,0
AND,1,1,2,2,5,0,0,1,217,0,0,0,0,1,217,0,0
AND,1,0,0,4,5,0,0,1,507,0,0,0,0,1,507,0,0
AND,1,1,0,4,5,0,0,1,338,0,0,0,0,1,338,0,0
AND,0,0,1,5,5,0,0,1,606,0,0,0,0,1,606,0,0
AND,0,0,0,0,6,0,0,2,23963,1,22,0,0,1,23941,0,0
OR,1,1,0,3,0,1,0,2,518,0,0,0,0,2,518,0,0
AND,1,1,0,4,0,1,0,2,387,0,0,0,0,2,387,0,0
AND,1,1,0,2,1,1,0,1,102,0,0,0,0,1,102,0,0
AND,1,1,0,4,1,1,0,1,386,0,0,0,0,1,386,0,0
AND,1,1,1,4,1,1,0,1,148,0,0,0,0,1,148,0,0
OR,1,1,3,5,1,1,0,1,19,0,0,0,0,1,19,0,0
OR,1,1,0,3,2,1,0,5,1514,0,0,0,0,5,1514,0,0
AND,1,1,0,4,2,1,0,1,434,0,0,0,0,1,434,0,0
AND,1,1,1,4,2,1,0,1,212,0,0,0,0,1,212,0,0
AND,1,1,0,2,3,1,0,1,309,0,0,0,0,1,309,0,0
OR,1,1,0,3,3,1,0,3,1012,0,0,0,0,3,1012,0,0
AND,1,1,0,4,3,1,0,1,618,0,0,0,0,1,618,0,0
AND,1,1,0,3,4,1,0,1,223,0,0,0,0,1,223,0,0
OR,1,1,0,4,4,1,0,5,1734,0,0,0,0,5,1734,0,0
AND,1,1,1,5,4,1,0,3,9,0,0,0,0,3,9,0,0
OR,1,1,1,5,4,1,0,2,824,0,0,0,0,2,824,0,0
AND,0,0,0,0,5,1,0,4480,3291599,80,3145069,0,0,4400,146530,0,0
OR,0,0,0,0,5,1,0,7646,3716755,239,3283778,0,0,7407,432977,0,0
AND,1,0,0,0,5,1,0,268,11150,7,769,0,0,261,10381,0,0
OR,1,0,0,0,5,1,0,343,578784,17,560923,0,0,326,17861,0,0
AND,1,1,0,0,5,1,0,1,20,0,0,0,0,1,20,0,0
OR,0,0,3,1,5,1,0,1,197,1,197,0,0,0,0,0,0
AND,1,1,2,2,5,1,0,1,358,0,0,0,0,1,358,0,0
OR,1,0,0,3,5,1,0,1,323,0,0,0,0,1,323,0,0
OR,0,0,3,3,5,1,0,1,216,0,0,0,0,1,216,0,0
OR,1,0,3,3,5,1,0,1,234,0,0,0,0,1,234,0,0
AND,1,0,0,4,5,1,0,1,277,0,0,0,0,1,277,0,0
AND,1,1,0,4,5,1,0,3,1665,0,0,0,0,3,1665,0,0
OR,1,1,0,4,5,1,0,3,1105,0,0,0,0,3,1105,0,0
OR,1,0,2,4,5,1,0,1,37,0,0,0,0,1,37,0,0
AND,1,0,4,4,5,1,0,1,237,0,0,0,0,1,237,0,0
OR,1,1,0,5,5,1,0,1,356,0,0,0,0,1,356,0,0
OR,1,1,1,5,5,1,0,1,319,0,0,0,0,1,319,0,0
AND,1,0,2,5,5,1,0,1,319,0,0,0,0,1,319,0,0
AND,0,0,5,5,5,1,0,1,2,0,0,0,0,1,2,0,0
AND,1,0,5,5,5,1,0,12,24216,0,0,0,0,12,24216,0,0
OR,1,0,5,5,5,1,0,5,256,0,0,0,0,5,256,0,0
OR,1,1,1,2,0,2,0,1,269,1,269,0,0,0,0,0,0
OR,1,1,0,2,1,2,0,1,202,0,0,0,0,1,202,0,0
OR,1,1,0,4,2,2,0,1,144,0,0,0,0,1,144,0,0
AND,1,1,3,5,3,2,0,1,3,0,0,0,0,1,3,0,0
AND,1,1,0,3,4,2,0,1,70,0,0,0,0,1,70,0,0
