side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
OR,1,1,1,2,0,2,0,1,461,1,461,0,0,0,0,0,0
OR,1,1,0,3,0,2,0,1,89,0,0,0,0,1,89,0,0
OR,1,1,1,4,0,2,0,2,511,0,0,0,0,2,511,0,0
OR,1,1,2,5,0,2,0,1,611,0,0,0,0,1,611,0,0
OR,1,1,0,1,1,2,0,2,480,0,0,0,0,2,480,0,0
OR,1,1,0,2,1,2,0,11,3904,0,0,0,0,11,3904,0,0
OR,1,1,0,3,1,2,0,3,748,0,0,0,0,3,748,0,0
OR,1,1,0,4,1,2,0,3,2600,0,0,0,0,3,2600,0,0
OR,1,1,1,4,1,2,0,2,1777,0,0,0,0,2,1777,0,0
AND,1,1,1,5,1,2,0,2,6,0,0,0,0,2,6,0,0
OR,1,1,1,5,1,2,0,2,1545,0,0,0,0,2,1545,0,0
OR,1,1,2,5,1,2,0,1,822,0,0,0,0,1,822,0,0
OR,1,1,0,1,2,2,0,3,592,0,0,0,0,3,592,0,0
OR,1,1,0,2,2,2,0,3,1198,0,0,0,0,3,1198,0,0
OR,1,1,0,3,2,2,0,2,295,0,0,0,0,2,295,0,0
OR,1,1,0,4,2,2,0,4,3659,0,0,0,0,4,3659,0,0
OR,1,1,1,4,2,2,0,1,427,0,0,0,0,1,427,0,0
OR,1,1,1,5,2,2,0,1,1612,0,0,0,0,1,1612,0,0
OR,1,1,2,5,2,2,0,1,730,0,0,0,0,1,730,0,0
OR,1,1,3,5,2,2,0,1,179,0,0,0,0,1,179,0,0
OR,1,1,0,3,3,2,0,1,171,0,0,0,0,1,171,0,0
AND,1,1,0,4,3,2,0,1,126,0,0,0,0,1,126,0,0
OR,1,1,0,4,3,2,0,4,2885,0,0,0,0,4,2885,0,0
OR,1,1,0,5,3,2,0,2,1403,0,0,0,0,2,1403,0,0
OR,1,1,1,5,3,2,0,7,8569,0,0,0,0,7,8569,0,0
OR,1,1,0,2,4,2,0,2,272,0,0,0,0,2,272,0,0
OR,1,1,0,3,4,2,0,1,193,0,0,0,0,1,193,0,0
AND,1,1,0,4,4,2,0,5,584,0,0,0,0,5,584,0,0
OR,1,1,0,4,4,2,0,25,18748,0,0,0,0,25,18748,0,0
OR,1,1,1,4,4,2,0,3,2055,0,0,0,0,3,2055,0,0
AND,1,1,0,5,4,2,0,2,360,0,0,0,0,2,360,0,0
OR,1,1,0,5,4,2,0,6,3783,0,0,0,0,6,3783,0,0
AND,1,1,1,5,4,2,0,3,1211,0,0,0,0,3,1211,0,0
OR,1,1,1,5,4,2,0,16,10779,0,0,0,0,16,10779,0,0
OR,1,1,2,5,4,2,0,1,822,0,0,0,0,1,822,0,0
AND,0,0,0,0,5,2,0,31426,1605158,244,586831,0,0,31182,1018327,0,0
OR,0,0,0,0,5,2,0,2448,550295,39,77052,0,0,2409,473243,0,0
AND,1,0,0,0,5,2,0,690,14709,3,110,0,0,687,14599,0,0
OR,1,0,0,0,5,2,0,245,17965,3,4536,0,0,242,13429,0,0
OR,1,1,0,0,5,2,0,1,949,1,949,0,0,0,0,0,0
OR,0,0,0,1,5,2,0,1,786,0,0,0,0,1,786,0,0
OR,1,0,0,1,5,2,0,4,9900,1,4250,0,0,3,5650,0,0
OR,1,1,0,1,5,2,0,5,1064,0,0,0,0,5,1064,0,0
OR,1,0,0,2,5,2,0,3,2647,0,0,0,0,3,2647,0,0
OR,1,1,0,2,5,2,0,12,5180,0,0,0,0,12,5180,0,0
OR,1,0,1,2,5,2,0,6,13615,1,10942,0,0,5,2673,0,0
OR,1,0,2,2,5,2,0,6,4214,1,2224,0,0,5,1990,0,0
AND,1,1,2,2,5,2,0,3,990,0,0,0,0,3,990,0,0
OR,1,1,2,2,5,2,0,4,1011,0,0,0,0,4,1011,0,0
OR,1,0,0,3,5,2,0,1,283,0,0,0,0,1,283,0,0
OR,1,0,2,3,5,2,0,2,629,0,0,0,0,2,629,0,0
OR,1,0,3,3,5,2,0,4,2480,0,0,0,0,4,2480,0,0
OR,1,1,3,3,5,2,0,3,701,0,0,0,0,3,701,0,0
OR,1,0,4,3,5,2,0,2,1546,0,0,0,0,2,1546,0,0
AND,0,0,0,4,5,2,0,1,243,0,0,0,0,1,243,0,0
AND,1,0,0,4,5,2,0,5,1857,0,0,0,0,5,1857,0,0
OR,1,0,0,4,5,2,0,2,1851,0,0,0,0,2,1851,0,0
AND,1,1,0,4,5,2,0,1,179,0,0,0,0,1,179,0,0
OR,1,1,0,4,5,2,0,8,6070,0,0,0,0,8,6070,0,0
OR,1,0,1,4,5,2,0,1,289,0,0,0,0,1,289,0,0
OR,1,0,2,4,5,2,0,2,1506,0,0,0,0,2,1506,0,0
OR,1,0,3,4,5,2,0,6,3268,0,0,0,0,6,3268,0,0
OR,1,1,3,4,5,2,0,1,268,0,0,0,0,1,268,0,0
OR,1,0,4,4,5,2,0,8,6934,3,3975,0,0,5,2959,0,0
OR,1,1,4,4,5,2,0,1,612,0,0,0,0,1,612,0,0
AND,0,0,0,5,5,2,0,5,1265,0,0,0,0,5,1265,0,0
AND,1,0,0,5,5,2,0,5,2318,0,0,0,0,5,2318,0,0
AND,1,1,0,5,5,2,0,96,7677,0,0,0,0,96,7677,0,0
OR,1,1,0,5,5,2,0,2,1127,0,0,0,0,2,1127,0,0
AND,0,0,1,5,5,2,0,1,278,0,0,0,0,1,278,0,0
AND,1,0,1,5,5,2,0,2,99,0,0,0,0,2,99,0,0
AND,1,1,1,5,5,2,0,3,1894,0,0,0,0,3,1894,0,0
OR,1,1,1,5,5,2,0,2,1663,0,0,0,0,2,1663,0,0
AND,0,0,2,5,5,2,0,1,2,0,0,0,0,1,2,0,0
OR,1,0,2,5,5,2,0,2,1477,0,0,0,0,2,1477,0,0
AND,1,1,2,5,5,2,0,1,2,0,0,0,0,1,2,0,0
OR,1,1,2,5,5,2,0,1,682,0,0,0,0,1,682,0,0
AND,1,0,3,5,5,2,0,1,2156,0,0,0,0,1,2156,0,0
OR,1,0,3,5,5,2,0,10,7290,0,0,0,0,10,7290,0,0
OR,1,1,3,5,5,2,0,1,526,0,0,0,0,1,526,0,0
OR,1,0,4,5,5,2,0,9,18271,2,13201,0,0,7,5070,0,0
OR,1,1,4,5,5,2,0,1,506,0,0,0,0,1,506,0,0
AND,0,0,5,5,5,2,0,6,18,0,0,0,0,6,18,0,0
AND,1,0,5,5,5,2,0,36,2543,0,0,0,0,36,2543,0,0
OR,1,0,5,5,5,2,0,1,18,0,0,0,0,1,18,0,0
OR,1,1,0,1,0,3,0,3,1308,0,0,0,0,3,1308,0,0
OR,1,1,0,3,0,3,0,1,64,0,0,0,0,1,64,0,0
OR,1,1,0,4,0,3,0,1,599,0,0,0,0,1,599,0,0
OR,1,1,1,4,0,3,0,1,459,0,0,0,0,1,459,0,0
OR,1,1,2,4,0,3,0,1,315,0,0,0,0,1,315,0,0
OR,1,1,0,1,1,3,0,4,671,0,0,0,0,4,671,0,0
OR,1,1,0,2,1,3,0,2,276,0,0,0,0,2,276,0,0
OR,1,1,1,2,1,3,0,5,1389,0,0,0,0,5,1389,0,0
OR,1,1,0,3,1,3,0,1,277,0,0,0,0,1,277,0,0
OR,1,1,2,4,1,3,0,3,928,0,0,0,0,3,928,0,0
OR,1,1,0,1,2,3,0,1,267,0,0,0,0,1,267,0,0
OR,1,1,0,4,2,3,0,2,957,0,0,0,0,2,957,0,0
OR,1,1,0,2,3,3,0,2,396,0,0,0,0,2,396,0,0
OR,1,1,1,4,3,3,0,1,1348,0,0,0,0,1,1348,0,0
OR,1,1,0,2,4,3,0,1,90,0,0,0,0,1,90,0,0
OR,1,1,0,4,4,3,0,3,1435,0,0,0,0,3,1435,0,0
OR,1,1,1,4,4,3,0,1,615,0,0,0,0,1,615,0,0
OR,1,1,1,5,4,3,0,1,733,0,0,0,0,1,733,0,0
AND,0,0,0,0,5,3,0,8131,450472,131,136876,0,0,8000,313596,0,0
OR,0,0,0,0,5,3,0,665,109276,35,46543,0,0,630,62733,0,0
AND,1,0,0,0,5,3,0,192,5914,0,0,0,0,192,5914,0,0
OR,1,0,0,0,5,3,0,252,30219,14,13338,0,0,238,16881,0,0
OR,1,1,0,0,5,3,0,6,2156,0,0,0,0,6,2156,0,0
OR,1,0,0,1,5,3,0,1,221,0,0,0,0,1,221,0,0
OR,1,1,0,1,5,3,0,4,1241,0,0,0,0,4,1241,0,0
OR,0,0,3,1,5,3,0,1,238,0,0,0,0,1,238,0,0
OR,1,1,0,2,5,3,0,1,255,0,0,0,0,1,255,0,0
OR,1,0,1,2,5,3,0,1,379,0,0,0,0,1,379,0,0
OR,1,1,1,2,5,3,0,4,636,0,0,0,0,4,636,0,0
OR,1,0,2,2,5,3,0,4,3057,1,2149,0,0,3,908,0,0
OR,1,1,2,2,5,3,0,10,11110,2,6226,0,0,8,4884,0,0
OR,1,1,3,3,5,3,0,1,650,0,0,0,0,1,650,0,0
OR,1,0,4,3,5,3,0,7,7859,2,6743,0,0,5,1116,0,0
OR,1,0,1,4,5,3,0,1,691,0,0,0,0,1,691,0,0
OR,1,0,2,4,5,3,0,3,780,0,0,0,0,3,780,0,0
OR,1,1,2,4,5,3,0,1,393,0,0,0,0,1,393,0,0
OR,1,0,3,4,5,3,0,3,1582,0,0,0,0,3,1582,0,0
OR,1,1,3,4,5,3,0,1,286,0,0,0,0,1,286,0,0
OR,0,0,4,4,5,3,0,1,1168,1,1168,0,0,0,0,0,0
OR,1,0,4,4,5,3,0,3,1009,1,334,0,0,2,675,0,0
AND,1,0,0,5,5,3,0,1,429,0,0,0,0,1,429,0,0
AND,1,1,2,5,5,3,0,1,4,0,0,0,0,1,4,0,0
OR,1,0,4,5,5,3,0,1,561,0,0,0,0,1,561,0,0
AND,1,0,5,5,5,3,0,4,51,0,0,0,0,4,51,0,0
OR,1,1,0,1,0,4,0,7,7341,0,0,0,0,7,7341,0,0
OR,1,1,1,2,0,4,0,7,1728,0,0,0,0,7,1728,0,0
OR,1,1,2,3,0,4,0,1,242,0,0,0,0,1,242,0,0
OR,1,1,3,4,0,4,0,1,732,0,0,0,0,1,732,0,0
OR,1,1,0,1,1,4,0,4,710,0,0,0,0,4,710,0,0
OR,1,1,1,2,1,4,0,4,564,0,0,0,0,4,564,0,0
OR,1,1,0,3,1,4,0,1,152,0,0,0,0,1,152,0,0
OR,1,1,0,1,2,4,0,1,2633,0,0,0,0,1,2633,0,0
OR,1,1,0,3,2,4,0,1,482,0,0,0,0,1,482,0,0
OR,1,1,0,4,3,4,0,1,488,0,0,0,0,1,488,0,0
AND,0,0,0,0,5,4,0,4853,185375,73,45939,0,0,4780,139436,0,0
OR,0,0,0,0,5,4,0,65,19933,30,9458,0,0,35,10475,0,0
AND,1,0,0,0,5,4,0,73,1305,1,2,0,0,72,1303,0,0
OR,1,0,0,0,5,4,0,101,36052,36,25957,0,0,65,10095,0,0
OR,1,1,0,0,5,4,0,9,2395,0,0,0,0,9,2395,0,0
OR,1,0,0,1,5,4,0,1,488,0,0,0,0,1,488,0,0
OR,1,1,0,1,5,4,0,2,1006,0,0,0,0,2,1006,0,0
OR,1,1,1,2,5,4,0,2,448,0,0,0,0,2,448,0,0
OR,1,1,2,2,5,4,0,9,4572,0,0,0,0,9,4572,0,0
OR,1,1,3,3,5,4,0,1,273,0,0,0,0,1,273,0,0
OR,1,0,4,3,5,4,0,3,768,3,768,0,0,0,0,0,0
OR,1,0,3,4,5,4,0,2,2226,2,2226,0,0,0,0,0,0
AND,0,0,0,5,5,4,0,1,491,0,0,0,0,1,491,0,0
AND,1,0,0,5,5,4,0,1,468,0,0,0,0,1,468,0,0
AND,1,1,0,5,5,4,0,1,203,0,0,0,0,1,203,0,0
OR,1,1,4,5,5,4,0,1,733,0,0,0,0,1,733,0,0
AND,0,0,5,5,5,4,0,1,2,0,0,0,0,1,2,0,0
AND,1,0,5,5,5,4,0,3,864,0,0,0,0,3,864,0,0
OR,1,1,0,1,0,5,0,3,718,0,0,0,0,3,718,0,0
OR,1,1,1,4,1,5,0,1,601,0,0,0,0,1,601,0,0
OR,1,1,4,5,1,5,0,1,952,0,0,0,0,1,952,0,0
AND,0,0,0,0,5,5,0,1034,8618,9,154,0,0,1025,8464,0,0
OR,0,0,0,0,5,5,0,8,941,4,113,0,0,4,828,0,0
AND,1,0,0,0,5,5,0,1,4,0,0,0,0,1,4,0,0
OR,1,0,0,0,5,5,0,50,35961,37,23305,0,0,13,12656,0,0
OR,1,1,0,0,5,5,0,1,265,0,0,0,0,1,265,0,0
OR,1,0,0,1,5,5,0,1,259,0,0,0,0,1,259,0,0
OR,1,0,2,2,5,5,0,1,144,0,0,0,0,1,144,0,0
OR,1,1,2,2,5,5,0,8,1555,0,0,0,0,8,1555,0,0
OR,1,0,4,4,5,5,0,1,318,0,0,0,0,1,318,0,0
AND,0,0,1,5,5,5,0,1,224,0,0,0,0,1,224,0,0
OR,1,1,4,5,5,5,0,2,1268,0,0,0,0,2,1268,0,0
OR,1,1,1,2,1,6,0,2,388,0,0,0,0,2,388,0,0
AND,0,0,0,0,5,6,0,287,1120,0,0,0,0,287,1120,0,0
AND,1,0,0,0,5,6,0,7,18,0,0,0,0,7,18,0,0
OR,1,0,0,0,5,6,0,32,26281,17,3729,0,0,15,22552,0,0
OR,1,1,0,0,5,6,0,4,887,0,0,0,0,4,887,0,0
AND,0,0,0,0,5,0,1,16,24201,0,0,0,0,16,24201,0,0
OR,1,1,0,4,0,1,1,1,690,0,0,0,0,1,690,0,0
AND,1,1,0,5,1,1,1,1,213,0,0,0,0,1,213,0,0
OR,1,1,0,3,3,1,1,1,520,0,0,0,0,1,520,0,0
AND,0,0,0,0,5,1,1,7932,518968,7,48752,0,0,7925,470216,0,0
OR,0,0,0,0,5,1,1,37,24467,1,29,0,0,36,24438,0,0
AND,1,0,0,0,5,1,1,16,268,0,0,0,0,16,268,0,0
OR,1,0,0,0,5,1,1,1,670,0,0,0,0,1,670,0,0
OR,1,0,2,4,5,1,1,1,4388,1,4388,0,0,0,0,0,0
OR,1,0,4,4,5,1,1,1,851,0,0,0,0,1,851,0,0
AND,1,0,0,5,5,1,1,1,528,0,0,0,0,1,528,0,0
AND,1,1,0,5,5,1,1,3,507,0,0,0,0,3,507,0,0
OR,1,0,2,5,5,1,1,1,128278,0,0,0,0,1,128278,0,0
OR,1,0,3,5,5,1,1,1,631,0,0,0,0,1,631,0,0
OR,1,0,4,5,5,1,1,4,2844,0,0,0,0,4,2844,0,0
OR,1,0,5,5,5,1,1,2,1307,0,0,0,0,2,1307,0,0
OR,1,1,0,1,0,2,1,3,643,0,0,0,0,3,643,0,0
AND,1,1,0,5,0,2,1,1,161,0,0,0,0,1,161,0,0
AND,1,1,0,5,2,2,1,1,223,0,0,0,0,1,223,0,0
AND,1,1,0,4,4,2,1,2,247,0,0,0,0,2,247,0,0
OR,1,1,0,4,4,2,1,2,1139,0,0,0,0,2,1139,0,0
AND,0,0,0,0,5,2,1,10097,309233,24,67024,0,0,10073,242209,0,0
OR,0,0,0,0,5,2,1,42,8096,1,1438,0,0,41,6658,0,0
AND,1,0,0,0,5,2,1,127,12686,1,11273,0,0,126,1413,0,0
OR,1,0,0,0,5,2,1,5,150,0,0,0,0,5,150,0,0
OR,0,0,3,1,5,2,1,1,687,0,0,0,0,1,687,0,0
OR,1,0,0,2,5,2,1,1,344,0,0,0,0,1,344,0,0
OR,1,0,2,3,5,2,1,1,270,0,0,0,0,1,270,0,0
AND,1,1,0,4,5,2,1,2,95,0,0,0,0,2,95,0,0
OR,1,1,2,4,5,2,1,1,335,0,0,0,0,1,335,0,0
OR,1,0,3,4,5,2,1,2,820,0,0,0,0,2,820,0,0
OR,0,0,4,4,5,2,1,1,3730,1,3730,0,0,0,0,0,0
OR,1,0,4,4,5,2,1,1,215,0,0,0,0,1,215,0,0
AND,1,1,0,5,5,2,1,16,2864,0,0,0,0,16,2864,0,0
AND,1,1,1,5,5,2,1,3,1429,0,0,0,0,3,1429,0,0
OR,1,0,4,5,5,2,1,1,527,0,0,0,0,1,527,0,0
AND,0,0,5,5,5,2,1,1,304,1,304,0,0,0,0,0,0
AND,1,0,5,5,5,2,1,5,503,1,485,0,0,4,18,0,0
OR,1,1,0,1,0,3,1,2,399,0,0,0,0,2,399,0,0
OR,1,1,2,4,1,3,1,1,195,0,0,0,0,1,195,0,0
OR,1,1,0,1,2,3,1,1,158,0,0,0,0,1,158,0,0
AND,1,1,0,5,2,3,1,1,126,0,0,0,0,1,126,0,0
OR,1,1,0,2,3,3,1,1,240,0,0,0,0,1,240,0,0
AND,0,0,0,0,5,3,1,1443,26166,5,2162,0,0,1438,24004,0,0
OR,0,0,0,0,5,3,1,12,3451,3,2249,0,0,9,1202,0,0
AND,1,0,0,0,5,3,1,28,171,0,0,0,0,28,171,0,0
OR,1,0,0,0,5,3,1,5,185,0,0,0,0,5,185,0,0
OR,1,1,0,1,5,3,1,1,220,0,0,0,0,1,220,0,0
OR,1,0,4,3,5,3,1,1,3280,1,3280,0,0,0,0,0,0
OR,1,0,2,4,5,3,1,2,529,0,0,0,0,2,529,0,0
OR,1,1,1,2,0,4,1,1,193,0,0,0,0,1,193,0,0
OR,1,1,0,2,2,4,1,1,151,0,0,0,0,1,151,0,0
OR,1,1,0,2,3,4,1,4,622,0,0,0,0,4,622,0,0
AND,0,0,0,0,5,4,1,706,4945,13,1803,0,0,693,3142,0,0
OR,0,0,0,0,5,4,1,11,4224,6,3565,0,0,5,659,0,0
AND,1,0,0,0,5,4,1,18,171,2,45,0,0,16,126,0,0
OR,1,0,0,0,5,4,1,30,9729,3,2863,0,0,27,6866,0,0
OR,1,1,0,0,5,4,1,1,173,0,0,0,0,1,173,0,0
OR,1,1,2,2,5,4,1,1,191,0,0,0,0,1,191,0,0
AND,0,0,0,0,5,5,1,138,1853,8,142,0,0,130,1711,0,0
OR,0,0,0,0,5,5,1,1,207,0,0,0,0,1,207,0,0
AND,1,0,0,0,5,5,1,1,3,0,0,0,0,1,3,0,0
OR,1,0,0,0,5,5,1,5,5237,0,0,0,0,5,5237,0,0
OR,1,1,2,2,5,5,1,1,152,0,0,0,0,1,152,0,0
OR,1,0,4,3,5,5,1,1,221,1,221,0,0,0,0,0,0
AND,1,0,0,0,5,6,1,6,24,0,0,0,0,6,24,0,0
OR,1,0,0,0,5,6,1,1,223,1,223,0,0,0,0,0,0
OR,1,1,1,5,1,0,2,1,2714006,1,2714006,0,0,0,0,0,0
OR,1,1,0,4,4,0,2,4,2588,0,0,0,0,4,2588,0,0
OR,1,1,0,5,4,0,2,1,371,0,0,0,0,1,371,0,0
AND,0,0,0,0,5,0,2,5006,3069295,3,1346395,0,0,5003,1722900,0,0
OR,0,0,0,0,5,0,2,79,2352139,4,2139206,0,0,75,212933,0,0
AND,1,0,0,0,5,0,2,9,72,0,0,0,0,9,72,0,0
OR,1,1,0,4,5,0,2,2,1807,0,0,0,0,2,1807,0,0
AND,1,1,0,5,5,0,2,2,1638,0,0,0,0,2,1638,0,0
AND,1,1,2,5,5,0,2,1,4,0,0,0,0,1,4,0,0
AND,1,1,3,5,5,0,2,1,4,0,0,0,0,1,4,0,0
OR,1,0,4,5,5,0,2,1,1437,0,0,0,0,1,1437,0,0
AND,1,0,5,5,5,0,2,28,11457,0,0,0,0,28,11457,0,0
AND,0,0,0,0,6,0,2,4,142362,0,0,0,0,4,142362,0,0
OR,1,1,0,2,0,1,2,1,400,0,0,0,0,1,400,0,0
OR,1,1,1,2,0,1,2,1,599,0,0,0,0,1,599,0,0
OR,1,1,1,4,0,1,2,2,4421,1,1891,0,0,1,2530,0,0
OR,1,1,0,5,0,1,2,1,740,0,0,0,0,1,740,0,0
OR,1,1,2,5,0,1,2,1,810,0,0,0,0,1,810,0,0
OR,1,1,0,4,1,1,2,2,1349,0,0,0,0,2,1349,0,0
OR,1,1,1,5,1,1,2,7,5167,0,0,0,0,7,5167,0,0
OR,1,1,0,2,2,1,2,1,359,0,0,0,0,1,359,0,0
OR,1,1,0,4,2,1,2,4,3125,0,0,0,0,4,3125,0,0
AND,1,1,0,5,2,1,2,3,2710,0,0,0,0,3,2710,0,0
OR,1,1,0,5,2,1,2,2,1419,0,0,0,0,2,1419,0,0
OR,1,1,0,4,3,1,2,4,2828,0,0,0,0,4,2828,0,0
OR,1,1,0,5,3,1,2,1,1625,0,0,0,0,1,1625,0,0
OR,1,1,1,5,3,1,2,1,533,0,0,0,0,1,533,0,0
OR,1,1,0,4,4,1,2,14,9506,0,0,0,0,14,9506,0,0
AND,1,1,0,5,4,1,2,6,1886,0,0,0,0,6,1886,0,0
OR,1,1,0,5,4,1,2,1,553,0,0,0,0,1,553,0,0
OR,1,1,1,5,4,1,2,4,2189,0,0,0,0,4,2189,0,0
AND,0,0,0,0,5,1,2,113680,9331574,58,673082,0,0,113622,8658492,0,0
OR,0,0,0,0,5,1,2,6360,5981460,273,2121147,0,0,6086,3860268,1,45
AND,1,0,0,0,5,1,2,1221,31011,0,0,0,0,1221,31011,0,0
OR,1,0,0,0,5,1,2,363,46752,5,7510,0,0,358,39242,0,0
OR,0,0,0,1,5,1,2,1,770,0,0,0,0,1,770,0,0
OR,0,0,3,1,5,1,2,1,737,0,0,0,0,1,737,0,0
OR,0,0,0,2,5,1,2,1,541,0,0,0,0,1,541,0,0
