side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
AND,1,1,0,4,3,0,0,1,728,0,0,0,0,1,728,0,0
AND,1,1,0,4,4,0,0,1,1819,0,0,0,0,1,1819,0,0
OR,1,1,1,4,4,0,0,9,1312059,0,0,0,0,9,1312059,0,0
AND,0,0,0,0,5,0,0,2392,62744319,27,19775983,0,0,2365,42968336,0,0
OR,0,0,0,0,5,0,0,47,3387333,4,14081,0,0,43,3373252,0,0
AND,1,0,0,0,5,0,0,5,15674,0,0,0,0,5,15674,0,0
AND,1,1,0,3,5,0,0,12,12981,0,0,0,0,12,12981,0,0
AND,0,0,0,4,5,0,0,4,8063,0,0,0,0,4,8063,0,0
AND,1,1,0,4,5,0,0,83,994113,0,0,0,0,83,994113,0,0
OR,1,1,0,4,5,0,0,3,231916,0,0,0,0,3,231916,0,0
AND,1,1,0,5,5,0,0,1,287,0,0,0,0,1,287,0,0
AND,1,1,1,5,5,0,0,6,17053,0,0,0,0,6,17053,0,0
AND,1,1,3,5,5,0,0,2,92010,1,91757,0,0,1,253,0,0
AND,1,0,5,5,5,0,0,40,79934,0,0,0,0,40,79934,0,0
AND,0,0,0,0,6,0,0,3,21277802,0,0,0,0,3,21277802,0,0
OR,1,1,0,0,0,1,0,6,3253,0,0,0,0,6,3253,0,0
OR,1,1,0,1,0,1,0,1,355,0,0,0,0,1,355,0,0
OR,1,1,1,1,0,1,0,3,1191,0,0,0,0,3,1191,0,0
AND,1,1,0,3,0,1,0,4,78,0,0,0,0,4,78,0,0
OR,1,1,0,3,0,1,0,1,712,0,0,0,0,1,712,0,0
AND,1,1,0,4,0,1,0,9,2901,0,0,0,0,9,2901,0,0
OR,1,1,1,4,0,1,0,4,3441,0,0,0,0,4,3441,0,0
OR,1,1,3,4,0,1,0,7,3893,0,0,0,0,7,3893,0,0
OR,1,1,4,4,0,1,0,2,2066,0,0,0,0,2,2066,0,0
AND,1,1,2,5,0,1,0,1,358,0,0,0,0,1,358,0,0
OR,1,1,4,5,0,1,0,4,2843,0,0,0,0,4,2843,0,0
OR,1,1,0,0,1,1,0,5,8042,0,0,0,0,5,8042,0,0
OR,1,1,0,1,1,1,0,2,1476,0,0,0,0,2,1476,0,0
AND,1,1,0,2,1,1,0,1,27,0,0,0,0,1,27,0,0
OR,1,1,0,2,1,1,0,3,4622,0,0,0,0,3,4622,0,0
OR,1,1,2,2,1,1,0,1,327,0,0,0,0,1,327,0,0
AND,1,1,0,3,1,1,0,1,2,0,0,0,0,1,2,0,0
OR,1,1,1,3,1,1,0,1,527,0,0,0,0,1,527,0,0
AND,1,1,0,4,1,1,0,15,2158,0,0,0,0,15,2158,0,0
OR,1,1,1,4,1,1,0,8,5847,0,0,0,0,8,5847,0,0
OR,1,1,2,4,1,1,0,8,7611,0,0,0,0,8,7611,0,0
AND,1,1,2,5,1,1,0,1,2,0,0,0,0,1,2,0,0
OR,1,1,2,5,1,1,0,1,2488,0,0,0,0,1,2488,0,0
OR,1,1,3,5,1,1,0,6,3545,0,0,0,0,6,3545,0,0
OR,1,1,4,5,1,1,0,1,532,0,0,0,0,1,532,0,0
OR,1,1,0,0,2,1,0,3,1838,0,0,0,0,3,1838,0,0
OR,1,1,0,1,2,1,0,3,1478,0,0,0,0,3,1478,0,0
OR,1,1,0,2,2,1,0,5,2104,0,0,0,0,5,2104,0,0
AND,1,1,0,3,2,1,0,2,4,0,0,0,0,2,4,0,0
OR,1,1,0,3,2,1,0,9,11673,0,0,0,0,9,11673,0,0
OR,1,1,1,3,2,1,0,2,2343,0,0,0,0,2,2343,0,0
AND,1,1,0,4,2,1,0,11,1482,0,0,0,0,11,1482,0,0
OR,1,1,1,4,2,1,0,9,5370,0,0,0,0,9,5370,0,0
OR,1,1,2,4,2,1,0,11,6327,0,0,0,0,11,6327,0,0
OR,1,1,3,4,2,1,0,1,396,0,0,0,0,1,396,0,0
AND,1,1,1,5,2,1,0,1,572,0,0,0,0,1,572,0,0
AND,1,1,2,5,2,1,0,1,42,0,0,0,0,1,42,0,0
OR,1,1,2,5,2,1,0,1,395,0,0,0,0,1,395,0,0
OR,1,1,3,5,2,1,0,2,1037,0,0,0,0,2,1037,0,0
OR,1,1,0,0,3,1,0,6,2510,0,0,0,0,6,2510,0,0
AND,1,1,0,1,3,1,0,1,341,0,0,0,0,1,341,0,0
OR,1,1,0,1,3,1,0,14,4141,0,0,0,0,14,4141,0,0
OR,1,1,0,2,3,1,0,14,10665,0,0,0,0,14,10665,0,0
AND,1,1,0,3,3,1,0,4,8,0,0,0,0,4,8,0,0
OR,1,1,0,3,3,1,0,4,2134,0,0,0,0,4,2134,0,0
OR,1,1,1,3,3,1,0,3,3704,0,0,0,0,3,3704,0,0
AND,1,1,0,4,3,1,0,12,770,0,0,0,0,12,770,0,0
OR,1,1,1,4,3,1,0,26,18380,0,0,0,0,26,18380,0,0
OR,1,1,2,4,3,1,0,13,10250,0,0,0,0,13,10250,0,0
AND,1,1,0,5,3,1,0,1,3,0,0,0,0,1,3,0,0
OR,1,1,2,5,3,1,0,1,685,0,0,0,0,1,685,0,0
OR,1,1,0,0,4,1,0,19,6022,0,0,0,0,19,6022,0,0
OR,1,1,0,1,4,1,0,106,52502,0,0,0,0,106,52502,0,0
AND,1,1,0,2,4,1,0,3,1349,0,0,0,0,3,1349,0,0
OR,1,1,0,2,4,1,0,172,136069,0,0,0,0,172,136069,0,0
AND,1,1,0,3,4,1,0,10,3594,0,0,0,0,10,3594,0,0
OR,1,1,0,3,4,1,0,69,57539,0,0,0,0,69,57539,0,0
AND,1,1,0,4,4,1,0,28,7228,0,0,0,0,28,7228,0,0
OR,1,1,0,4,4,1,0,15,13092,0,0,0,0,15,13092,0,0
OR,1,1,1,4,4,1,0,168,145416,0,0,0,0,168,145416,0,0
OR,1,1,2,4,4,1,0,13,9249,0,0,0,0,13,9249,0,0
AND,1,1,0,5,4,1,0,1,390,0,0,0,0,1,390,0,0
AND,1,1,1,5,4,1,0,3,474,0,0,0,0,3,474,0,0
AND,1,1,2,5,4,1,0,3,70,0,0,0,0,3,70,0,0
OR,1,1,2,5,4,1,0,6,3449,0,0,0,0,6,3449,0,0
