[bounded_search] chunk done: work_done=500002 next_chunk=1000000 elapsed=0.089s max_depth=15 nodes=24732 nps=276955
[bounded_search] chunk done: work_done=1000024 next_chunk=2000000 elapsed=0.269s max_depth=11 nodes=76362 nps=284270
[bounded_search] chunk done: work_done=2000017 next_chunk=4000000 elapsed=0.633s max_depth=16 nodes=183840 nps=290338
[bounded_search] chunk done: work_done=4000016 next_chunk=8000000 elapsed=1.365s max_depth=19 nodes=397333 nps=291078
[bounded_search] chunk done: work_done=8000008 next_chunk=16000000 elapsed=2.874s max_depth=20 nodes=797468 nps=277493
[bounded_search] chunk done: work_done=16000006 next_chunk=32000000 elapsed=6.001s max_depth=22 nodes=1619263 nps=269833
[bounded_search] chunk done: work_done=32000000 next_chunk=64000000 elapsed=12.243s max_depth=38 nodes=3322654 nps=271392
[bounded_search] chunk done: work_done=64000012 next_chunk=128000000 elapsed=24.307s max_depth=51 nodes=6853665 nps=281962
outcome: win
pv_len: 477
nodes: 13907467
child_evals: 249480478
first_outcome_evals: 249480478
refinement_rounds: 0
refinement_evals: 0
wall_s: 46.60
pv_status_label: first-outcome-only=true
conv7 spike: off
